TICK: 000052 | PC: 00090 | STEP: 0 | IR: load 2 | A: 0 | AR: 4 | NZ: 01 | IE: 1 | PENDING: 0 | IN_INTR: 0 | DS: [] | RS: [10] | MEM: - | LATCH: IR | OUT: '' | fetch load 2
TICK: 000053 | PC: 00090 | STEP: 1 | IR: load 2 | A: 0 | AR: 2 | NZ: 01 | IE: 1 | PENDING: 0 | IN_INTR: 0 | DS: [] | RS: [10] | MEM: - | LATCH: AR | OUT: '' | load.addr 2
TICK: 000054 | PC: 00095 | STEP: 0 | IR: load 2 | A: 0 | AR: 2 | NZ: 01 | IE: 1 | PENDING: 0 | IN_INTR: 0 | DS: [1000000000] | RS: [10] | MEM: read mem[2] | LATCH: DS.push,PC,IR.clear | OUT: '' | load.read
TICK: 000055 | PC: 00095 | STEP: 0 | IR: load 4 | A: 0 | AR: 2 | NZ: 01 | IE: 1 | PENDING: 0 | IN_INTR: 0 | DS: [1000000000] | RS: [10] | MEM: - | LATCH: IR | OUT: '' | fetch load 4
TICK: 000056 | PC: 00095 | STEP: 1 | IR: load 4 | A: 0 | AR: 4 | NZ: 01 | IE: 1 | PENDING: 0 | IN_INTR: 0 | DS: [1000000000] | RS: [10] | MEM: - | LATCH: AR | OUT: '' | load.addr 4
TICK: 000057 | PC: 00100 | STEP: 0 | IR: load 4 | A: 0 | AR: 4 | NZ: 01 | IE: 1 | PENDING: 0 | IN_INTR: 0 | DS: [1000000000, 1000000000] | RS: [10] | MEM: read mem[4] | LATCH: DS.push,PC,IR.clear | OUT: '' | load.read
TICK: 000058 | PC: 00100 | STEP: 0 | IR: sub | A: 0 | AR: 4 | NZ: 01 | IE: 1 | PENDING: 0 | IN_INTR: 0 | DS: [1000000000, 1000000000] | RS: [10] | MEM: - | LATCH: IR | OUT: '' | fetch sub
TICK: 000059 | PC: 00100 | STEP: 1 | IR: sub | A: 0 | AR: 4 | NZ: 01 | IE: 1 | PENDING: 0 | IN_INTR: 0 | DS: [] | RS: [10] | MEM: - | LATCH: ALU.left,ALU.right | OUT: '' | sub.load_operands
TICK: 000060 | PC: 00101 | STEP: 0 | IR: sub | A: 0 | AR: 4 | NZ: 01 | IE: 1 | PENDING: 0 | IN_INTR: 0 | DS: [0] | RS: [10] | MEM: - | LATCH: DS.push(ALU),PC,IR.clear | OUT: '' | sub.write_result
TICK: 000061 | PC: 00101 | STEP: 0 | IR: dup | A: 0 | AR: 4 | NZ: 01 | IE: 1 | PENDING: 0 | IN_INTR: 0 | DS: [0] | RS: [10] | MEM: - | LATCH: IR | OUT: '' | fetch dup
