TICK: 000024 | PC: 00049 | STEP: 0 | IR: store 2 | A: 0 | AR: 2 | NZ: 00 | IE: 1 | PENDING: 0 | IN_INTR: 0 | DS: [] | RS: [10] | MEM: write mem[2] <- 49 | LATCH: MEM,PC,IR.clear | OUT: '' | store.write
TICK: 000025 | PC: 00049 | STEP: 0 | IR: load 2 | A: 0 | AR: 2 | NZ: 00 | IE: 1 | PENDING: 0 | IN_INTR: 0 | DS: [] | RS: [10] | MEM: - | LATCH: IR | OUT: '' | fetch load 2
TICK: 000026 | PC: 00049 | STEP: 1 | IR: load 2 | A: 0 | AR: 2 | NZ: 00 | IE: 1 | PENDING: 0 | IN_INTR: 0 | DS: [] | RS: [10] | MEM: - | LATCH: AR | OUT: '' | load.addr 2
TICK: 000027 | PC: 00054 | STEP: 0 | IR: load 2 | A: 0 | AR: 2 | NZ: 00 | IE: 1 | PENDING: 0 | IN_INTR: 0 | DS: [49] | RS: [10] | MEM: read mem[2] | LATCH: DS.push,PC,IR.clear | OUT: '' | load.read
TICK: 000028 | PC: 00054 | STEP: 0 | IR: literal 49 | A: 0 | AR: 2 | NZ: 00 | IE: 1 | PENDING: 0 | IN_INTR: 0 | DS: [49] | RS: [10] | MEM: - | LATCH: IR | OUT: '' | fetch literal 49
TICK: 000029 | PC: 00059 | STEP: 0 | IR: literal 49 | A: 0 | AR: 2 | NZ: 00 | IE: 1 | PENDING: 0 | IN_INTR: 0 | DS: [49, 49] | RS: [10] | MEM: - | LATCH: DS.push,PC,IR.clear | OUT: '' | literal 49
TICK: 000030 | PC: 00059 | STEP: 0 | IR: sub | A: 0 | AR: 2 | NZ: 00 | IE: 1 | PENDING: 0 | IN_INTR: 0 | DS: [49, 49] | RS: [10] | MEM: - | LATCH: IR | OUT: '' | fetch sub
TICK: 000031 | PC: 00059 | STEP: 1 | IR: sub | A: 0 | AR: 2 | NZ: 00 | IE: 1 | PENDING: 0 | IN_INTR: 0 | DS: [] | RS: [10] | MEM: - | LATCH: ALU.left,ALU.right | OUT: '' | sub.load_operands
TICK: 000032 | PC: 00060 | STEP: 0 | IR: sub | A: 0 | AR: 2 | NZ: 01 | IE: 1 | PENDING: 0 | IN_INTR: 0 | DS: [0] | RS: [10] | MEM: - | LATCH: DS.push(ALU),PC,IR.clear | OUT: '' | sub.write_result
TICK: 000033 | PC: 00060 | STEP: 0 | IR: nif 100 | A: 0 | AR: 2 | NZ: 01 | IE: 1 | PENDING: 0 | IN_INTR: 0 | DS: [0] | RS: [10] | MEM: - | LATCH: IR | OUT: '' | fetch nif 100
TICK: 000034 | PC: 00060 | STEP: 1 | IR: nif 100 | A: 0 | AR: 2 | NZ: 01 | IE: 1 | PENDING: 0 | IN_INTR: 0 | DS: [] | RS: [10] | MEM: - | LATCH: ALU.left | OUT: '' | nif.test
TICK: 000035 | PC: 00065 | STEP: 0 | IR: nif 100 | A: 0 | AR: 2 | NZ: 01 | IE: 1 | PENDING: 0 | IN_INTR: 0 | DS: [] | RS: [10] | MEM: - | LATCH: PC,IR.clear | OUT: '' | nif.branch
TICK: 000036 | PC: 00065 | STEP: 0 | IR: literal 3 | A: 0 | AR: 2 | NZ: 01 | IE: 1 | PENDING: 0 | IN_INTR: 0 | DS: [] | RS: [10] | MEM: - | LATCH: IR | OUT: '' | fetch literal 3
TICK: 000037 | PC: 00070 | STEP: 0 | IR: literal 3 | A: 0 | AR: 2 | NZ: 01 | IE: 1 | PENDING: 0 | IN_INTR: 0 | DS: [3] | RS: [10] | MEM: - | LATCH: DS.push,PC,IR.clear | OUT: '' | literal 3
TICK: 000038 | PC: 00070 | STEP: 0 | IR: stack_to_a | A: 0 | AR: 2 | NZ: 01 | IE: 1 | PENDING: 0 | IN_INTR: 0 | DS: [3] | RS: [10] | MEM: - | LATCH: IR | OUT: '' | fetch stack_to_a
TICK: 000039 | PC: 00071 | STEP: 0 | IR: stack_to_a | A: 3 | AR: 2 | NZ: 01 | IE: 1 | PENDING: 0 | IN_INTR: 0 | DS: [] | RS: [10] | MEM: - | LATCH: A,PC,IR.clear | OUT: '' | stack_to_a
TICK: 000040 | PC: 00071 | STEP: 0 | IR: a_load_+ | A: 3 | AR: 2 | NZ: 01 | IE: 1 | PENDING: 0 | IN_INTR: 0 | DS: [] | RS: [10] | MEM: - | LATCH: IR | OUT: '' | fetch a_load_+
TICK: 000041 | PC: 00071 | STEP: 1 | IR: a_load_+ | A: 3 | AR: 3 | NZ: 01 | IE: 1 | PENDING: 0 | IN_INTR: 0 | DS: [] | RS: [10] | MEM: - | LATCH: AR | OUT: '' | aload.addr
TICK: 000042 | PC: 00071 | STEP: 2 | IR: a_load_+ | A: 3 | AR: 3 | NZ: 01 | IE: 1 | PENDING: 0 | IN_INTR: 0 | DS: [79] | RS: [10] | MEM: read mem[3] | LATCH: DS.push | OUT: '' | aload.read
TICK: 000043 | PC: 00072 | STEP: 0 | IR: a_load_+ | A: 4 | AR: 3 | NZ: 01 | IE: 1 | PENDING: 0 | IN_INTR: 0 | DS: [79] | RS: [10] | MEM: - | LATCH: A,PC,IR.clear | OUT: '' | aload.increment
TICK: 000044 | PC: 00072 | STEP: 0 | IR: dup | A: 4 | AR: 3 | NZ: 01 | IE: 1 | PENDING: 0 | IN_INTR: 0 | DS: [79] | RS: [10] | MEM: - | LATCH: IR | OUT: '' | fetch dup
TICK: 000045 | PC: 00073 | STEP: 0 | IR: dup | A: 4 | AR: 3 | NZ: 01 | IE: 1 | PENDING: 0 | IN_INTR: 0 | DS: [79, 79] | RS: [10] | MEM: - | LATCH: DS.dup,PC,IR.clear | OUT: '' | dup
TICK: 000046 | PC: 00073 | STEP: 0 | IR: if 88 | A: 4 | AR: 3 | NZ: 01 | IE: 1 | PENDING: 0 | IN_INTR: 0 | DS: [79, 79] | RS: [10] | MEM: - | LATCH: IR | OUT: '' | fetch if 88
TICK: 000047 | PC: 00073 | STEP: 1 | IR: if 88 | A: 4 | AR: 3 | NZ: 01 | IE: 1 | PENDING: 0 | IN_INTR: 0 | DS: [79] | RS: [10] | MEM: - | LATCH: ALU.left | OUT: '' | if.test
TICK: 000048 | PC: 00078 | STEP: 0 | IR: if 88 | A: 4 | AR: 3 | NZ: 00 | IE: 1 | PENDING: 0 | IN_INTR: 0 | DS: [79] | RS: [10] | MEM: - | LATCH: PC,IR.clear | OUT: '' | if.branch
TICK: 000049 | PC: 00078 | STEP: 0 | IR: store 31999 | A: 4 | AR: 3 | NZ: 00 | IE: 1 | PENDING: 0 | IN_INTR: 0 | DS: [79] | RS: [10] | MEM: - | LATCH: IR | OUT: '' | fetch store 31999
TICK: 000050 | PC: 00078 | STEP: 1 | IR: store 31999 | A: 4 | AR: 31999 | NZ: 00 | IE: 1 | PENDING: 0 | IN_INTR: 0 | DS: [79] | RS: [10] | MEM: - | LATCH: AR | OUT: '' | store.addr 31999
TICK: 000051 | PC: 00083 | STEP: 0 | IR: store 31999 | A: 4 | AR: 31999 | NZ: 00 | IE: 1 | PENDING: 0 | IN_INTR: 0 | DS: [] | RS: [10] | MEM: write mem[31999] <- 79 | LATCH: OUT,PC,IR.clear | OUT: 'O' | store.write
TICK: 000052 | PC: 00083 | STEP: 0 | IR: jmp 71 | A: 4 | AR: 31999 | NZ: 00 | IE: 1 | PENDING: 0 | IN_INTR: 0 | DS: [] | RS: [10] | MEM: - | LATCH: IR | OUT: 'O' | fetch jmp 71
TICK: 000053 | PC: 00071 | STEP: 0 | IR: jmp 71 | A: 4 | AR: 31999 | NZ: 00 | IE: 1 | PENDING: 0 | IN_INTR: 0 | DS: [] | RS: [10] | MEM: - | LATCH: PC,IR.clear | OUT: 'O' | jmp 71
TICK: 000054 | PC: 00071 | STEP: 0 | IR: a_load_+ | A: 4 | AR: 31999 | NZ: 00 | IE: 1 | PENDING: 0 | IN_INTR: 0 | DS: [] | RS: [10] | MEM: - | LATCH: IR | OUT: 'O' | fetch a_load_+
TICK: 000055 | PC: 00071 | STEP: 1 | IR: a_load_+ | A: 4 | AR: 4 | NZ: 00 | IE: 1 | PENDING: 0 | IN_INTR: 0 | DS: [] | RS: [10] | MEM: - | LATCH: AR | OUT: 'O' | aload.addr
TICK: 000056 | PC: 00071 | STEP: 2 | IR: a_load_+ | A: 4 | AR: 4 | NZ: 00 | IE: 1 | PENDING: 0 | IN_INTR: 0 | DS: [75] | RS: [10] | MEM: read mem[4] | LATCH: DS.push | OUT: 'O' | aload.read
