TICK: 000025 | PC: 00112 | STEP: 2 | IR: a_load_+ | A: 4 | AR: 4 | NZ: 01 | IE: 1 | PENDING: 0 | IN_INTR: 0 | DS: [87] | RS: [40] | MEM: read mem[4] | LATCH: DS.push | OUT: '' | aload.read
TICK: 000026 | PC: 00113 | STEP: 0 | IR: a_load_+ | A: 5 | AR: 4 | NZ: 01 | IE: 1 | PENDING: 0 | IN_INTR: 0 | DS: [87] | RS: [40] | MEM: - | LATCH: A,PC,IR.clear | OUT: '' | aload.increment
TICK: 000027 | PC: 00113 | STEP: 0 | IR: dup | A: 5 | AR: 4 | NZ: 01 | IE: 1 | PENDING: 0 | IN_INTR: 0 | DS: [87] | RS: [40] | MEM: - | LATCH: IR | OUT: '' | fetch dup
TICK: 000028 | PC: 00114 | STEP: 0 | IR: dup | A: 5 | AR: 4 | NZ: 01 | IE: 1 | PENDING: 0 | IN_INTR: 0 | DS: [87, 87] | RS: [40] | MEM: - | LATCH: DS.dup,PC,IR.clear | OUT: '' | dup
TICK: 000029 | PC: 00114 | STEP: 0 | IR: if 129 | A: 5 | AR: 4 | NZ: 01 | IE: 1 | PENDING: 0 | IN_INTR: 0 | DS: [87, 87] | RS: [40] | MEM: - | LATCH: IR | OUT: '' | fetch if 129
TICK: 000030 | PC: 00114 | STEP: 1 | IR: if 129 | A: 5 | AR: 4 | NZ: 01 | IE: 1 | PENDING: 0 | IN_INTR: 0 | DS: [87] | RS: [40] | MEM: - | LATCH: ALU.left | OUT: '' | if.test
TICK: 000031 | PC: 00119 | STEP: 0 | IR: if 129 | A: 5 | AR: 4 | NZ: 00 | IE: 1 | PENDING: 0 | IN_INTR: 0 | DS: [87] | RS: [40] | MEM: - | LATCH: PC,IR.clear | OUT: '' | if.branch
TICK: 000032 | PC: 00119 | STEP: 0 | IR: store 31999 | A: 5 | AR: 4 | NZ: 00 | IE: 1 | PENDING: 0 | IN_INTR: 0 | DS: [87] | RS: [40] | MEM: - | LATCH: IR | OUT: '' | fetch store 31999
TICK: 000033 | PC: 00119 | STEP: 1 | IR: store 31999 | A: 5 | AR: 31999 | NZ: 00 | IE: 1 | PENDING: 0 | IN_INTR: 0 | DS: [87] | RS: [40] | MEM: - | LATCH: AR | OUT: '' | store.addr 31999
TICK: 000034 | PC: 00124 | STEP: 0 | IR: store 31999 | A: 5 | AR: 31999 | NZ: 00 | IE: 1 | PENDING: 0 | IN_INTR: 0 | DS: [] | RS: [40] | MEM: write mem[31999] <- 87 | LATCH: OUT,PC,IR.clear | OUT: 'W' | store.write
TICK: 000035 | PC: 00124 | STEP: 0 | IR: jmp 112 | A: 5 | AR: 31999 | NZ: 00 | IE: 1 | PENDING: 0 | IN_INTR: 0 | DS: [] | RS: [40] | MEM: - | LATCH: IR | OUT: 'W' | fetch jmp 112
