TICK: 000025 | PC: 00082 | STEP: 1 | IR: add | A: 0 | AR: 1 | NZ: 00 | IE: 1 | PENDING: 0 | IN_INTR: 0 | DS: [] | RS: [10] | MEM: - | LATCH: ALU.left,ALU.right | OUT: '' | add.load_operands
TICK: 000026 | PC: 00083 | STEP: 0 | IR: add | A: 0 | AR: 1 | NZ: 00 | IE: 1 | PENDING: 0 | IN_INTR: 0 | DS: [1] | RS: [10] | MEM: - | LATCH: DS.push(ALU),PC | OUT: '' | add.write_result
TICK: 000027 | PC: 00084 | STEP: 0 | IR: dup | A: 0 | AR: 1 | NZ: 00 | IE: 1 | PENDING: 0 | IN_INTR: 0 | DS: [1, 1] | RS: [10] | MEM: - | LATCH: DS.dup,PC | OUT: '' | dup
TICK: 000028 | PC: 00084 | STEP: 1 | IR: store 2 | A: 0 | AR: 2 | NZ: 00 | IE: 1 | PENDING: 0 | IN_INTR: 0 | DS: [1, 1] | RS: [10] | MEM: - | LATCH: AR | OUT: '' | store.addr 2
TICK: 000029 | PC: 00089 | STEP: 0 | IR: store 2 | A: 0 | AR: 2 | NZ: 00 | IE: 1 | PENDING: 0 | IN_INTR: 0 | DS: [1] | RS: [10] | MEM: write mem[2] <- 1 | LATCH: MEM,PC | OUT: '' | store.write
TICK: 000030 | PC: 00090 | STEP: 0 | IR: drop | A: 0 | AR: 2 | NZ: 00 | IE: 1 | PENDING: 0 | IN_INTR: 0 | DS: [] | RS: [10] | MEM: - | LATCH: PC | OUT: '' | drop
TICK: 000031 | PC: 00090 | STEP: 1 | IR: load 3 | A: 0 | AR: 3 | NZ: 00 | IE: 1 | PENDING: 0 | IN_INTR: 0 | DS: [] | RS: [10] | MEM: - | LATCH: AR | OUT: '' | load.addr 3
TICK: 000032 | PC: 00095 | STEP: 0 | IR: load 3 | A: 0 | AR: 3 | NZ: 00 | IE: 1 | PENDING: 0 | IN_INTR: 0 | DS: [0] | RS: [10] | MEM: read mem[3] | LATCH: DS.push,PC | OUT: '' | load.read
TICK: 000033 | PC: 00095 | STEP: 1 | IR: load 1 | A: 0 | AR: 1 | NZ: 00 | IE: 1 | PENDING: 0 | IN_INTR: 0 | DS: [0] | RS: [10] | MEM: - | LATCH: AR | OUT: '' | load.addr 1
TICK: 000034 | PC: 00100 | STEP: 0 | IR: load 1 | A: 0 | AR: 1 | NZ: 00 | IE: 1 | PENDING: 0 | IN_INTR: 0 | DS: [0, 1] | RS: [10] | MEM: read mem[1] | LATCH: DS.push,PC | OUT: '' | load.read
TICK: 000035 | PC: 00100 | STEP: 1 | IR: load 1 | A: 0 | AR: 1 | NZ: 00 | IE: 1 | PENDING: 0 | IN_INTR: 0 | DS: [0, 1] | RS: [10] | MEM: - | LATCH: AR | OUT: '' | load.addr 1
TICK: 000036 | PC: 00105 | STEP: 0 | IR: load 1 | A: 0 | AR: 1 | NZ: 00 | IE: 1 | PENDING: 0 | IN_INTR: 0 | DS: [0, 1, 1] | RS: [10] | MEM: read mem[1] | LATCH: DS.push,PC | OUT: '' | load.read
TICK: 000037 | PC: 00105 | STEP: 1 | IR: mul | A: 0 | AR: 1 | NZ: 00 | IE: 1 | PENDING: 0 | IN_INTR: 0 | DS: [0] | RS: [10] | MEM: - | LATCH: ALU.left,ALU.right | OUT: '' | mul.load_operands
TICK: 000038 | PC: 00106 | STEP: 0 | IR: mul | A: 0 | AR: 1 | NZ: 00 | IE: 1 | PENDING: 0 | IN_INTR: 0 | DS: [0, 1] | RS: [10] | MEM: - | LATCH: DS.push(ALU),PC | OUT: '' | mul.write_result
TICK: 000039 | PC: 00106 | STEP: 1 | IR: add | A: 0 | AR: 1 | NZ: 00 | IE: 1 | PENDING: 0 | IN_INTR: 0 | DS: [] | RS: [10] | MEM: - | LATCH: ALU.left,ALU.right | OUT: '' | add.load_operands
TICK: 000040 | PC: 00107 | STEP: 0 | IR: add | A: 0 | AR: 1 | NZ: 00 | IE: 1 | PENDING: 0 | IN_INTR: 0 | DS: [1] | RS: [10] | MEM: - | LATCH: DS.push(ALU),PC | OUT: '' | add.write_result
TICK: 000041 | PC: 00108 | STEP: 0 | IR: dup | A: 0 | AR: 1 | NZ: 00 | IE: 1 | PENDING: 0 | IN_INTR: 0 | DS: [1, 1] | RS: [10] | MEM: - | LATCH: DS.dup,PC | OUT: '' | dup
TICK: 000042 | PC: 00108 | STEP: 1 | IR: store 3 | A: 0 | AR: 3 | NZ: 00 | IE: 1 | PENDING: 0 | IN_INTR: 0 | DS: [1, 1] | RS: [10] | MEM: - | LATCH: AR | OUT: '' | store.addr 3
TICK: 000043 | PC: 00113 | STEP: 0 | IR: store 3 | A: 0 | AR: 3 | NZ: 00 | IE: 1 | PENDING: 0 | IN_INTR: 0 | DS: [1] | RS: [10] | MEM: write mem[3] <- 1 | LATCH: MEM,PC | OUT: '' | store.write
TICK: 000044 | PC: 00114 | STEP: 0 | IR: drop | A: 0 | AR: 3 | NZ: 00 | IE: 1 | PENDING: 0 | IN_INTR: 0 | DS: [] | RS: [10] | MEM: - | LATCH: PC | OUT: '' | drop
TICK: 000045 | PC: 00114 | STEP: 1 | IR: load 1 | A: 0 | AR: 1 | NZ: 00 | IE: 1 | PENDING: 0 | IN_INTR: 0 | DS: [] | RS: [10] | MEM: - | LATCH: AR | OUT: '' | load.addr 1
TICK: 000046 | PC: 00119 | STEP: 0 | IR: load 1 | A: 0 | AR: 1 | NZ: 00 | IE: 1 | PENDING: 0 | IN_INTR: 0 | DS: [1] | RS: [10] | MEM: read mem[1] | LATCH: DS.push,PC | OUT: '' | load.read
TICK: 000047 | PC: 00124 | STEP: 0 | IR: literal 1 | A: 0 | AR: 1 | NZ: 00 | IE: 1 | PENDING: 0 | IN_INTR: 0 | DS: [1, 1] | RS: [10] | MEM: - | LATCH: DS.push,PC | OUT: '' | literal 1
TICK: 000048 | PC: 00124 | STEP: 1 | IR: add | A: 0 | AR: 1 | NZ: 00 | IE: 1 | PENDING: 0 | IN_INTR: 0 | DS: [] | RS: [10] | MEM: - | LATCH: ALU.left,ALU.right | OUT: '' | add.load_operands
TICK: 000049 | PC: 00125 | STEP: 0 | IR: add | A: 0 | AR: 1 | NZ: 00 | IE: 1 | PENDING: 0 | IN_INTR: 0 | DS: [2] | RS: [10] | MEM: - | LATCH: DS.push(ALU),PC | OUT: '' | add.write_result
TICK: 000050 | PC: 00126 | STEP: 0 | IR: dup | A: 0 | AR: 1 | NZ: 00 | IE: 1 | PENDING: 0 | IN_INTR: 0 | DS: [2, 2] | RS: [10] | MEM: - | LATCH: DS.dup,PC | OUT: '' | dup
TICK: 000051 | PC: 00126 | STEP: 1 | IR: store 1 | A: 0 | AR: 1 | NZ: 00 | IE: 1 | PENDING: 0 | IN_INTR: 0 | DS: [2, 2] | RS: [10] | MEM: - | LATCH: AR | OUT: '' | store.addr 1
TICK: 000052 | PC: 00131 | STEP: 0 | IR: store 1 | A: 0 | AR: 1 | NZ: 00 | IE: 1 | PENDING: 0 | IN_INTR: 0 | DS: [2] | RS: [10] | MEM: write mem[1] <- 2 | LATCH: MEM,PC | OUT: '' | store.write
TICK: 000053 | PC: 00132 | STEP: 0 | IR: drop | A: 0 | AR: 1 | NZ: 00 | IE: 1 | PENDING: 0 | IN_INTR: 0 | DS: [] | RS: [10] | MEM: - | LATCH: PC | OUT: '' | drop
TICK: 000054 | PC: 00051 | STEP: 0 | IR: jmp 51 | A: 0 | AR: 1 | NZ: 00 | IE: 1 | PENDING: 0 | IN_INTR: 0 | DS: [] | RS: [10] | MEM: - | LATCH: PC | OUT: '' | jmp 51
TICK: 000055 | PC: 00056 | STEP: 0 | IR: literal 100 | A: 0 | AR: 1 | NZ: 00 | IE: 1 | PENDING: 0 | IN_INTR: 0 | DS: [100] | RS: [10] | MEM: - | LATCH: DS.push,PC | OUT: '' | literal 100
TICK: 000056 | PC: 00056 | STEP: 1 | IR: load 1 | A: 0 | AR: 1 | NZ: 00 | IE: 1 | PENDING: 0 | IN_INTR: 0 | DS: [100] | RS: [10] | MEM: - | LATCH: AR | OUT: '' | load.addr 1
TICK: 000057 | PC: 00061 | STEP: 0 | IR: load 1 | A: 0 | AR: 1 | NZ: 00 | IE: 1 | PENDING: 0 | IN_INTR: 0 | DS: [100, 2] | RS: [10] | MEM: read mem[1] | LATCH: DS.push,PC | OUT: '' | load.read
TICK: 000058 | PC: 00061 | STEP: 1 | IR: sub | A: 0 | AR: 1 | NZ: 00 | IE: 1 | PENDING: 0 | IN_INTR: 0 | DS: [] | RS: [10] | MEM: - | LATCH: ALU.left,ALU.right | OUT: '' | sub.load_operands
TICK: 000059 | PC: 00062 | STEP: 0 | IR: sub | A: 0 | AR: 1 | NZ: 00 | IE: 1 | PENDING: 0 | IN_INTR: 0 | DS: [98] | RS: [10] | MEM: - | LATCH: DS.push(ALU),PC | OUT: '' | sub.write_result
TICK: 000060 | PC: 00062 | STEP: 1 | IR: mif 72 | A: 0 | AR: 1 | NZ: 00 | IE: 1 | PENDING: 0 | IN_INTR: 0 | DS: [] | RS: [10] | MEM: - | LATCH: ALU.left | OUT: '' | mif.test
TICK: 000061 | PC: 00072 | STEP: 0 | IR: mif 72 | A: 0 | AR: 1 | NZ: 00 | IE: 1 | PENDING: 0 | IN_INTR: 0 | DS: [] | RS: [10] | MEM: - | LATCH: PC | OUT: '' | mif.branch
TICK: 000062 | PC: 00072 | STEP: 1 | IR: load 2 | A: 0 | AR: 2 | NZ: 00 | IE: 1 | PENDING: 0 | IN_INTR: 0 | DS: [] | RS: [10] | MEM: - | LATCH: AR | OUT: '' | load.addr 2
TICK: 000063 | PC: 00077 | STEP: 0 | IR: load 2 | A: 0 | AR: 2 | NZ: 00 | IE: 1 | PENDING: 0 | IN_INTR: 0 | DS: [1] | RS: [10] | MEM: read mem[2] | LATCH: DS.push,PC | OUT: '' | load.read
TICK: 000064 | PC: 00077 | STEP: 1 | IR: load 1 | A: 0 | AR: 1 | NZ: 00 | IE: 1 | PENDING: 0 | IN_INTR: 0 | DS: [1] | RS: [10] | MEM: - | LATCH: AR | OUT: '' | load.addr 1
TICK: 000065 | PC: 00082 | STEP: 0 | IR: load 1 | A: 0 | AR: 1 | NZ: 00 | IE: 1 | PENDING: 0 | IN_INTR: 0 | DS: [1, 2] | RS: [10] | MEM: read mem[1] | LATCH: DS.push,PC | OUT: '' | load.read
TICK: 000066 | PC: 00082 | STEP: 1 | IR: add | A: 0 | AR: 1 | NZ: 00 | IE: 1 | PENDING: 0 | IN_INTR: 0 | DS: [] | RS: [10] | MEM: - | LATCH: ALU.left,ALU.right | OUT: '' | add.load_operands
TICK: 000067 | PC: 00083 | STEP: 0 | IR: add | A: 0 | AR: 1 | NZ: 00 | IE: 1 | PENDING: 0 | IN_INTR: 0 | DS: [3] | RS: [10] | MEM: - | LATCH: DS.push(ALU),PC | OUT: '' | add.write_result
TICK: 000068 | PC: 00084 | STEP: 0 | IR: dup | A: 0 | AR: 1 | NZ: 00 | IE: 1 | PENDING: 0 | IN_INTR: 0 | DS: [3, 3] | RS: [10] | MEM: - | LATCH: DS.dup,PC | OUT: '' | dup
TICK: 000069 | PC: 00084 | STEP: 1 | IR: store 2 | A: 0 | AR: 2 | NZ: 00 | IE: 1 | PENDING: 0 | IN_INTR: 0 | DS: [3, 3] | RS: [10] | MEM: - | LATCH: AR | OUT: '' | store.addr 2
TICK: 000070 | PC: 00089 | STEP: 0 | IR: store 2 | A: 0 | AR: 2 | NZ: 00 | IE: 1 | PENDING: 0 | IN_INTR: 0 | DS: [3] | RS: [10] | MEM: write mem[2] <- 3 | LATCH: MEM,PC | OUT: '' | store.write
TICK: 000071 | PC: 00090 | STEP: 0 | IR: drop | A: 0 | AR: 2 | NZ: 00 | IE: 1 | PENDING: 0 | IN_INTR: 0 | DS: [] | RS: [10] | MEM: - | LATCH: PC | OUT: '' | drop
TICK: 000072 | PC: 00090 | STEP: 1 | IR: load 3 | A: 0 | AR: 3 | NZ: 00 | IE: 1 | PENDING: 0 | IN_INTR: 0 | DS: [] | RS: [10] | MEM: - | LATCH: AR | OUT: '' | load.addr 3
TICK: 000073 | PC: 00095 | STEP: 0 | IR: load 3 | A: 0 | AR: 3 | NZ: 00 | IE: 1 | PENDING: 0 | IN_INTR: 0 | DS: [1] | RS: [10] | MEM: read mem[3] | LATCH: DS.push,PC | OUT: '' | load.read
