TICK: 000025 | PC: 00019 | STEP: 0 | IR: dup | A: 4 | AR: 3 | NZ: 00 | IE: 1 | PENDING: 0 | IN_INTR: 0 | DS: [108, 108] | RS: [10] | MEM: - | LATCH: DS.dup,PC | OUT: 'He' | dup
TICK: 000026 | PC: 00019 | STEP: 1 | IR: if 34 | A: 4 | AR: 3 | NZ: 00 | IE: 1 | PENDING: 0 | IN_INTR: 0 | DS: [108] | RS: [10] | MEM: - | LATCH: ALU.left | OUT: 'He' | if.test
TICK: 000027 | PC: 00024 | STEP: 0 | IR: if 34 | A: 4 | AR: 3 | NZ: 00 | IE: 1 | PENDING: 0 | IN_INTR: 0 | DS: [108] | RS: [10] | MEM: - | LATCH: PC | OUT: 'He' | if.branch
TICK: 000028 | PC: 00024 | STEP: 1 | IR: store 31999 | A: 4 | AR: 31999 | NZ: 00 | IE: 1 | PENDING: 0 | IN_INTR: 0 | DS: [108] | RS: [10] | MEM: - | LATCH: AR | OUT: 'He' | store.addr 31999
TICK: 000029 | PC: 00029 | STEP: 0 | IR: store 31999 | A: 4 | AR: 31999 | NZ: 00 | IE: 1 | PENDING: 0 | IN_INTR: 0 | DS: [] | RS: [10] | MEM: write mem[31999] <- 108 | LATCH: OUT,PC | OUT: 'Hel' | store.write
TICK: 000030 | PC: 00017 | STEP: 0 | IR: jmp 17 | A: 4 | AR: 31999 | NZ: 00 | IE: 1 | PENDING: 0 | IN_INTR: 0 | DS: [] | RS: [10] | MEM: - | LATCH: PC | OUT: 'Hel' | jmp 17
TICK: 000031 | PC: 00017 | STEP: 1 | IR: a_load_+ | A: 4 | AR: 4 | NZ: 00 | IE: 1 | PENDING: 0 | IN_INTR: 0 | DS: [] | RS: [10] | MEM: - | LATCH: AR | OUT: 'Hel' | aload.addr
TICK: 000032 | PC: 00017 | STEP: 2 | IR: a_load_+ | A: 4 | AR: 4 | NZ: 00 | IE: 1 | PENDING: 0 | IN_INTR: 0 | DS: [108] | RS: [10] | MEM: read mem[4] | LATCH: DS.push | OUT: 'Hel' | aload.read
TICK: 000033 | PC: 00018 | STEP: 0 | IR: a_load_+ | A: 5 | AR: 4 | NZ: 00 | IE: 1 | PENDING: 0 | IN_INTR: 0 | DS: [108] | RS: [10] | MEM: - | LATCH: A,PC | OUT: 'Hel' | aload.increment
TICK: 000034 | PC: 00019 | STEP: 0 | IR: dup | A: 5 | AR: 4 | NZ: 00 | IE: 1 | PENDING: 0 | IN_INTR: 0 | DS: [108, 108] | RS: [10] | MEM: - | LATCH: DS.dup,PC | OUT: 'Hel' | dup
TICK: 000035 | PC: 00019 | STEP: 1 | IR: if 34 | A: 5 | AR: 4 | NZ: 00 | IE: 1 | PENDING: 0 | IN_INTR: 0 | DS: [108] | RS: [10] | MEM: - | LATCH: ALU.left | OUT: 'Hel' | if.test
TICK: 000036 | PC: 00024 | STEP: 0 | IR: if 34 | A: 5 | AR: 4 | NZ: 00 | IE: 1 | PENDING: 0 | IN_INTR: 0 | DS: [108] | RS: [10] | MEM: - | LATCH: PC | OUT: 'Hel' | if.branch
TICK: 000037 | PC: 00024 | STEP: 1 | IR: store 31999 | A: 5 | AR: 31999 | NZ: 00 | IE: 1 | PENDING: 0 | IN_INTR: 0 | DS: [108] | RS: [10] | MEM: - | LATCH: AR | OUT: 'Hel' | store.addr 31999
TICK: 000038 | PC: 00029 | STEP: 0 | IR: store 31999 | A: 5 | AR: 31999 | NZ: 00 | IE: 1 | PENDING: 0 | IN_INTR: 0 | DS: [] | RS: [10] | MEM: write mem[31999] <- 108 | LATCH: OUT,PC | OUT: 'Hell' | store.write
TICK: 000039 | PC: 00017 | STEP: 0 | IR: jmp 17 | A: 5 | AR: 31999 | NZ: 00 | IE: 1 | PENDING: 0 | IN_INTR: 0 | DS: [] | RS: [10] | MEM: - | LATCH: PC | OUT: 'Hell' | jmp 17
TICK: 000040 | PC: 00017 | STEP: 1 | IR: a_load_+ | A: 5 | AR: 5 | NZ: 00 | IE: 1 | PENDING: 0 | IN_INTR: 0 | DS: [] | RS: [10] | MEM: - | LATCH: AR | OUT: 'Hell' | aload.addr
TICK: 000041 | PC: 00017 | STEP: 2 | IR: a_load_+ | A: 5 | AR: 5 | NZ: 00 | IE: 1 | PENDING: 0 | IN_INTR: 0 | DS: [111] | RS: [10] | MEM: read mem[5] | LATCH: DS.push | OUT: 'Hell' | aload.read
TICK: 000042 | PC: 00018 | STEP: 0 | IR: a_load_+ | A: 6 | AR: 5 | NZ: 00 | IE: 1 | PENDING: 0 | IN_INTR: 0 | DS: [111] | RS: [10] | MEM: - | LATCH: A,PC | OUT: 'Hell' | aload.increment
TICK: 000043 | PC: 00019 | STEP: 0 | IR: dup | A: 6 | AR: 5 | NZ: 00 | IE: 1 | PENDING: 0 | IN_INTR: 0 | DS: [111, 111] | RS: [10] | MEM: - | LATCH: DS.dup,PC | OUT: 'Hell' | dup
TICK: 000044 | PC: 00019 | STEP: 1 | IR: if 34 | A: 6 | AR: 5 | NZ: 00 | IE: 1 | PENDING: 0 | IN_INTR: 0 | DS: [111] | RS: [10] | MEM: - | LATCH: ALU.left | OUT: 'Hell' | if.test
TICK: 000045 | PC: 00024 | STEP: 0 | IR: if 34 | A: 6 | AR: 5 | NZ: 00 | IE: 1 | PENDING: 0 | IN_INTR: 0 | DS: [111] | RS: [10] | MEM: - | LATCH: PC | OUT: 'Hell' | if.branch
TICK: 000046 | PC: 00024 | STEP: 1 | IR: store 31999 | A: 6 | AR: 31999 | NZ: 00 | IE: 1 | PENDING: 0 | IN_INTR: 0 | DS: [111] | RS: [10] | MEM: - | LATCH: AR | OUT: 'Hell' | store.addr 31999
TICK: 000047 | PC: 00029 | STEP: 0 | IR: store 31999 | A: 6 | AR: 31999 | NZ: 00 | IE: 1 | PENDING: 0 | IN_INTR: 0 | DS: [] | RS: [10] | MEM: write mem[31999] <- 111 | LATCH: OUT,PC | OUT: 'Hello' | store.write
TICK: 000048 | PC: 00017 | STEP: 0 | IR: jmp 17 | A: 6 | AR: 31999 | NZ: 00 | IE: 1 | PENDING: 0 | IN_INTR: 0 | DS: [] | RS: [10] | MEM: - | LATCH: PC | OUT: 'Hello' | jmp 17
TICK: 000049 | PC: 00017 | STEP: 1 | IR: a_load_+ | A: 6 | AR: 6 | NZ: 00 | IE: 1 | PENDING: 0 | IN_INTR: 0 | DS: [] | RS: [10] | MEM: - | LATCH: AR | OUT: 'Hello' | aload.addr
